mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	output_file
no_draft	case_000	17	128	4.065924	31.481159	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_000.txt
no_draft	case_001	18	128	4.012241	31.902371	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_001.txt
no_draft	case_002	19	128	4.034530	31.726124	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_002.txt
no_draft	case_003	19	128	4.028216	31.775853	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_003.txt
no_draft	case_004	15	128	4.035791	31.716211	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_004.txt
no_draft	case_005	14	128	4.026754	31.787390	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_005.txt
no_draft	case_006	18	128	4.043841	31.653074	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_006.txt
no_draft	case_007	14	128	4.010933	31.912774	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_007.txt
no_draft	case_008	20	128	4.021885	31.825873	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_008.txt
no_draft	case_009	17	128	4.043938	31.652315	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_009.txt
no_draft	case_010	26	128	4.018553	31.852261	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_010.txt
no_draft	case_011	21	128	4.028554	31.773187	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_011.txt
no_draft	case_012	22	128	4.025737	31.795420	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_012.txt
no_draft	case_013	22	128	4.021273	31.830716	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_013.txt
no_draft	case_014	21	128	4.025863	31.794425	0	0	0	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_014.txt
